Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0001,IT,29,1024000,5,44.7,65.2,No
EMP0002,Marketing,39,917000,6,38.4,78.3,No
EMP0003,IT,36,1138000,6,42.5,74.6,No
EMP0004,Operations,40,846000,4,48.0,75.6,Yes
EMP0005,Finance,40,985000,5,37.6,75.0,No
EMP0006,IT,38,1120000,8,49.1,72.7,No
EMP0007,Sales,39,892000,10,43.4,77.1,Yes
EMP0008,HR,38,888000,0,44.5,64.3,No
EMP0009,Sales,33,898000,7,40.9,68.7,No
EMP0010,IT,40,1069000,9,44.7,75.5,No
EMP0011,Marketing,31,858000,2,45.8,63.8,No
EMP0012,Sales,35,1045000,9,45.5,84.1,No
EMP0013,Operations,31,748000,8,40.7,78.5,No
EMP0014,Sales,28,899000,9,36.0,63.6,No
EMP0015,HR,26,893000,6,43.7,70.9,No
EMP0016,Marketing,43,1053000,3,46.0,71.3,No
EMP0017,Sales,32,930000,6,44.8,80.1,No
EMP0018,Marketing,35,788000,7,45.1,72.3,No
EMP0019,Marketing,30,888000,8,33.8,77.3,Yes
EMP0020,IT,34,930000,3,50.7,68.2,No
EMP0021,Marketing,42,1056000,3,44.5,74.8,No
EMP0022,IT,28,995000,7,51.6,88.2,No
EMP0023,Finance,31,831000,8,53.6,78.0,Yes
EMP0024,Finance,34,928000,5,34.3,63.7,No
EMP0025,Sales,36,895000,4,42.1,66.8,No
EMP0026,Operations,30,870000,5,48.1,77.9,Yes
EMP0027,Sales,33,916000,4,46.9,80.2,No
EMP0028,Finance,30,909000,6,46.9,58.2,No
EMP0029,HR,38,1063000,6,39.0,80.2,No
EMP0030,IT,21,894000,10,56.3,94.2,Yes
EMP0031,Operations,38,1049000,7,48.0,74.5,Yes
EMP0032,IT,41,1003000,6,47.4,68.9,No
EMP0033,IT,44,1190000,2,47.4,67.3,No
EMP0034,Finance,35,1036000,5,45.0,73.3,No
EMP0035,Sales,29,862000,7,41.0,65.1,No
EMP0036,Marketing,33,792000,5,41.4,92.6,No
EMP0037,Finance,31,964000,9,44.5,89.2,Yes
EMP0038,Marketing,39,964000,8,44.1,85.6,Yes
EMP0039,IT,24,1139000,7,39.3,55.2,No
EMP0040,Finance,39,970000,13,48.8,100.0,Yes
EMP0041,IT,27,839000,4,44.1,80.3,No
EMP0042,Operations,23,751000,9,44.5,69.8,No
EMP0043,Sales,37,951000,8,41.0,74.3,Yes
EMP0044,Sales,37,860000,10,47.5,76.7,No
EMP0045,HR,33,898000,4,43.7,68.6,No
EMP0046,IT,25,1025000,6,48.2,69.4,No
EMP0047,IT,21,991000,10,49.1,84.9,Yes
EMP0048,Sales,41,905000,5,50.4,84.9,Yes
EMP0049,Marketing,29,831000,4,42.8,59.4,No
EMP0050,Marketing,29,1014000,8,51.0,80.9,Yes
EMP0051,IT,27,874000,9,44.7,77.7,No
EMP0052,IT,35,949000,4,39.9,63.8,No
EMP0053,Marketing,37,958000,5,39.4,74.7,No
EMP0054,Operations,29,943000,6,40.7,65.1,No
EMP0055,Operations,39,989000,10,40.0,70.5,Yes
EMP0056,Finance,33,793000,7,47.4,77.7,No
EMP0057,Finance,29,920000,8,44.3,69.6,No
EMP0058,HR,35,877000,5,47.7,88.9,No
EMP0059,Marketing,30,756000,7,50.5,71.7,Yes
EMP0060,Sales,45,1225000,7,49.1,93.1,Yes
EMP0061,IT,41,1171000,1,40.9,65.5,No
EMP0062,Operations,44,1130000,9,49.2,88.4,Yes
EMP0063,Finance,48,1127000,9,51.2,80.2,Yes
EMP0064,Operations,25,974000,9,43.8,72.6,Yes
EMP0065,Sales,37,838000,6,45.8,78.5,No
EMP0066,Sales,32,1047000,6,46.0,82.1,Yes
EMP0067,Finance,36,1035000,7,45.7,67.5,Yes
EMP0068,Sales,21,811000,6,38.7,63.8,No
EMP0069,Sales,28,1002000,9,41.6,72.9,Yes
